frequency_hz,rocof_hz_s,voltage_pu,total_demand_mw,total_gen_mw,net_power_deficit_mw,line_loading_pct,solar_gen_mw,wind_gen_mw,battery_soc_pct,ev_load_mw,industrial_load_mw,datacenter_load_mw,hospital_load_mw,fault_type,blackout_risk_pct,highest_risk_sector,recommended_prevention
49.905,-0.1087,1.001,96.89,86.33,10.56,69.03,5.49,15.83,57.0,6.91,27.97,9.93,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.257,0.4043,1.0066,99.14,118.65,-19.51,71.21,34.7,18.95,52.9,6.8,30.97,9.68,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.056,0.133,1.0046,99.1,104.52,-5.42,70.74,32.6,6.92,65.9,7.72,30.38,9.83,8.0,WIND_STALL,5.0,WIND_FARM,Command turbine blade pitch compensation & AGC governor reserve ramp.
49.911,-0.1439,0.9952,99.56,86.77,12.79,70.46,1.8,19.98,65.3,6.73,29.74,10.11,8.0,SOLAR_DROP,6.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.025,0.0592,0.999,100.19,101.57,-1.39,71.75,25.77,10.8,63.5,7.38,30.5,10.32,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.022,0.0446,1.0033,117.29,119.67,-2.38,84.0,34.93,19.74,58.4,6.89,49.05,10.39,8.0,INDUSTRIAL_INRUSH,12.6,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
50.032,0.045,1.004,100.17,101.26,-1.09,71.56,24.9,11.35,78.6,7.46,29.22,9.84,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.911,-0.1317,0.9981,97.48,86.05,11.43,69.02,10.08,10.96,41.0,6.71,28.61,9.63,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.002,-0.023,0.9938,99.52,97.23,2.29,70.46,15.47,16.76,67.2,7.04,28.75,10.33,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.2,0.3426,1.0075,103.18,119.23,-16.05,73.52,34.83,19.4,58.9,7.18,32.06,10.65,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.948,-0.0815,1.0033,109.21,103.79,5.42,78.2,28.76,10.03,84.7,6.81,39.25,10.58,8.0,INDUSTRIAL_INRUSH,6.2,INDUSTRIAL,Activate STATCOM reactive voltage support & engage interruptible tariff shedding.
49.925,-0.1201,1.0004,116.03,114.31,1.72,83.22,33.59,15.72,66.7,25.94,28.97,9.84,8.0,EV_SURGE,14.0,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
49.938,-0.1148,0.9983,98.6,91.08,7.52,70.15,6.63,19.45,41.0,6.43,29.81,10.33,8.0,SOLAR_DROP,5.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
49.97,-0.0566,0.9985,99.48,98.28,1.19,70.61,13.79,19.49,79.5,7.58,28.48,9.98,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
49.909,-0.1688,0.9957,98.6,86.97,11.63,69.64,11.9,10.07,83.4,7.09,28.97,9.82,8.0,SOLAR_DROP,5.7,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
49.902,-0.1589,0.994,98.82,82.41,16.4,70.85,0.45,16.96,46.3,6.42,30.67,9.39,8.0,SOLAR_DROP,7.0,SOLAR_FARM,Inject BESS synthetic inertia +15MW & ramp utility interconnect spinning reserve.
50.074,0.0643,1.0005,98.94,102.63,-3.69,70.99,27.55,10.08,62.4,6.32,29.04,10.26,8.0,NOMINAL,5.0,NONE,Nominal operating envelope. Spinning reserves active.
50.008,0.001,1.0001,113.71,113.73,-0.02,81.26,33.42,15.31,80.0,21.19,29.26,10.18,8.0,EV_SURGE,8.8,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
50.052,0.0635,1.0013,116.26,119.96,-3.7,83.02,34.99,19.97,80.0,7.12,31.22,25.07,8.0,DATACENTER_SPIKE,11.2,AI_DATACENTER,AI cluster compute power cap & BESS localized peak shaving.
49.806,-0.3335,0.995,122.76,100.75,22.01,88.38,22.2,13.55,75.3,28.47,29.94,9.89,8.0,EV_SURGE,28.4,EV_PLAZA,Dispatch BESS +18MW & Throttle EV Plaza chargers by 25%. Hospital locked immune.
